metric,value
As of Date,2025-03-26
Number of Observations,55
Realized Cumulative Return,0.114425
Daily Mean Return,0.001997
Annualized (Arithmetic) Mean Return,0.729078
CAGR,1.052323
Sharpe Ratio,5.2465
Sortino Ratio,12.6797
Calmar Ratio,58.7204
Omega Ratio,2.2863
Rolling 60-Day Sharpe,
Win Rate,0.5818
Daily Vol,0.007274
Annualized Vol,0.138963
60-Day Annual Vol,
Max Drawdown,0.017921
MDD Duration (Days),16
Avg Drawdown,0.007016
ADD Duration (Days),3.6
Skew,1.4481
Excess Kurtosis,3.8025
1% VaR,-0.010888
5% VaR,-0.006152
VaR(1%)/VaR(5%) Ratio,1.77
1% Top,0.026959
5% Top,0.012442
Top(1%)/Top(5%) Ratio,2.1668
5% CVaR,-0.00964
Average Turnover,0.794585
t-stat on Return,2.0366
p-value on Return,0.0466
Daily Alpha (Multi-Factor: BTC + ETH),0.001847
Beta to BTC (Multi-Factor),0.062819
Beta to ETH (Multi-Factor),-0.043353
Correlation (Strategy vs. BTC),0.0373
Correlation (Strategy vs. ETH),-0.0468
